Second,Volt
-3.83639979362,0.07200,
-3.83619999886,0.04000,
-3.83599996567,0.05600,
-3.83579993248,0.06800,
-3.83559989929,0.06800,
-3.83539986610,0.04800,
-3.83519983292,0.04800,
-3.83499979973,0.05600,
-3.83480000496,0.05600,
-3.83459997177,0.04800,
-3.83439993858,0.05200,
-3.83419990540,0.05200,
-3.83399987221,0.05200,
-3.83379983902,0.05200,
-3.83359980583,0.05200,
-3.83340001106,0.04400,
-3.83319997787,0.05200,
-3.83299994469,0.04800,
-3.83279991150,0.05200,
-3.83259987831,0.05600,
-3.83239984512,0.05200,
-3.83219981194,0.05200,
-3.83200001717,0.05200,
-3.83179998398,0.05200,
-3.83159995079,0.05600,
-3.83139991760,0.04800,
-3.83119988441,0.04400,
-3.83099985123,0.04800,
-3.83079981804,0.05200,
-3.83059978485,0.04800,
-3.83039999008,0.04400,
-3.83019995689,0.07200,
-3.82999992371,0.07200,
-3.82979989052,0.05200,
-3.82959985733,0.05200,
-3.82939982414,0.04400,
-3.82919979095,0.04800,
-3.82899999619,0.04800,
-3.82879996300,0.04800,
-3.82859992981,0.05200,
-3.82839989662,0.04800,
-3.82819986343,0.05200,
-3.82799983025,0.04400,
-3.82779979706,0.07200,
-3.82760000229,0.05600,
-3.82739996910,0.05600,
-3.82719993591,0.06000,
-3.82699990273,0.03600,
-3.82679986954,0.04800,
-3.82659983635,0.04400,
-3.82639980316,0.04800,
-3.82620000839,0.05200,
-3.82599997520,0.05600,
-3.82579994202,0.05200,
-3.82559990883,0.05200,
-3.82539987564,0.04800,
-3.82519984245,0.04400,
-3.82499980927,0.04400,
-3.82480001450,0.04800,
-3.82459998131,0.05200,
-3.82439994812,0.04800,
-3.82419991493,0.05200,
-3.82399988174,0.04800,
-3.82379984856,0.04800,
-3.82359981537,0.05200,
-3.82340002060,0.04800,
-3.82319998741,0.05200,
-3.82299995422,0.04400,
-3.82279992104,0.04800,
-3.82259988785,0.04800,
-3.82239985466,0.04400,
-3.82219982147,0.04400,
-3.82199978828,0.04000,
-3.82179999352,0.04400,
-3.82159996033,0.05600,
-3.82139992714,0.04800,
-3.82119989395,0.03600,
-3.82099986076,0.04400,
-3.82079982758,0.04800,
-3.82059979439,0.04800,
-3.82039999962,0.04800,
-3.82019996643,0.05600,
-3.81999993324,0.05600,
-3.81979990005,0.06000,
-3.81959986687,0.05200,
-3.81939983368,0.04800,
-3.81919980049,0.03200,
-3.81900000572,0.02800,
-3.81879997253,0.04800,
-3.81859993935,0.05600,
-3.81839990616,0.04800,
-3.81819987297,0.03200,
-3.81799983978,0.04800,
-3.81779980659,0.05200,
-3.81760001183,0.04800,
-3.81739997864,0.04800,
-3.81719994545,0.04800,
-3.81699991226,0.04800,
-3.81679987907,0.05200,
-3.81659984589,0.05600,
-3.81639981270,0.04800,
-3.81620001793,0.04800,
-3.81599998474,0.04800,
-3.81579995155,0.04400,
-3.81559991837,0.05200,
-3.81539988518,0.04400,
-3.81519985199,0.05600,
-3.81499981880,0.04800,
-3.81479978561,0.06000,
-3.81459999084,0.05600,
-3.81439995766,0.04800,
-3.81419992447,0.04400,
-3.81399989128,0.05600,
-3.81379985809,0.04800,
-3.81359982491,0.04800,
-3.81339979172,0.02400,
-3.81319999695,0.02800,
-3.81299996376,0.04400,
-3.81279993057,0.05200,
-3.81259989738,0.05200,
-3.81239986420,0.05600,
-3.81219983101,0.05200,
-3.81199979782,0.05200,
-3.81180000305,0.05200,
-3.81159996986,0.04800,
-3.81139993668,0.04000,
-3.81119990349,0.04400,
-3.81099987030,0.02000,
-3.81079983711,0.01600,
-3.81059980392,0.05200,
-3.81040000916,0.04400,
-3.81019997597,0.05200,
-3.80999994278,0.04400,
-3.80979990959,0.05200,
-3.80959987640,0.04800,
-3.80939984322,0.04800,
-3.80919981003,0.04800,
-3.80900001526,0.05200,
-3.80879998207,0.04800,
-3.80859994888,0.05200,
-3.80839991570,0.05200,
-3.80819988251,0.05200,
-3.80799984932,0.05200,
-3.80779981613,0.05200,
-3.80760002136,0.04800,
-3.80739998817,0.05200,
-3.80719995499,0.04400,
-3.80699992180,0.04800,
-3.80679988861,0.05600,
-3.80659985542,0.04800,
-3.80639982224,0.05600,
-3.80619978905,0.04800,
-3.80599999428,0.05600,
-3.80579996109,0.05200,
-3.80559992790,0.04800,
-3.80539989471,0.05200,
-3.80519986153,0.03600,
-3.80499982834,0.03200,
-3.80479979515,0.05200,
-3.80460000038,0.04800,
-3.80439996719,0.05600,
-3.80419993401,0.05200,
-3.80399990082,0.05200,
-3.80379986763,0.04400,
-3.80359983444,0.05200,
-3.80339980125,0.04800,
-3.80320000648,0.04800,
-3.80299997330,0.04800,
-3.80279994011,0.03600,
-3.80259990692,0.03200,
-3.80239987373,0.04400,
-3.80219984055,0.05200,
-3.80199980736,0.04800,
-3.80180001259,0.05200,
-3.80159997940,0.06800,
-3.80139994621,0.06000,
-3.80119991302,0.04800,
-3.80099987984,0.04800,
